case_id,external_subject_numeric_id,external_slice_index,external_modality,donor_h5_path
synthetic_004501,55,38,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_168_slice_55.h5
synthetic_004502,55,38,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_191_slice_107.h5
synthetic_004503,55,38,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_202_slice_69.h5
synthetic_004504,55,39,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_155_slice_81.h5
synthetic_004505,55,39,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_208_slice_121.h5
synthetic_004506,55,39,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_220_slice_70.h5
synthetic_004507,55,39,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_231_slice_89.h5
synthetic_004508,55,40,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_84_slice_58.h5
synthetic_004509,55,40,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_137_slice_47.h5
synthetic_004510,55,40,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_183_slice_84.h5
synthetic_004511,55,40,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_343_slice_87.h5
synthetic_004512,55,126,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_154_slice_83.h5
synthetic_004513,55,126,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_154_slice_98.h5
synthetic_004514,55,126,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_154_slice_106.h5
synthetic_004515,55,127,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_148_slice_120.h5
synthetic_004516,55,127,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_152_slice_62.h5
synthetic_004517,55,127,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_154_slice_104.h5
synthetic_004518,55,128,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_135_slice_66.h5
synthetic_004519,55,128,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_347_slice_107.h5
synthetic_004520,55,129,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_140_slice_79.h5
synthetic_004521,55,129,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_189_slice_86.h5
synthetic_004522,55,129,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_304_slice_56.h5
synthetic_004523,55,130,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_138_slice_113.h5
synthetic_004524,55,130,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_152_slice_127.h5
synthetic_004525,55,130,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_175_slice_105.h5
synthetic_004526,55,131,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_138_slice_54.h5
synthetic_004527,55,131,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_138_slice_120.h5
synthetic_004528,55,131,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_161_slice_73.h5
synthetic_004529,55,132,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_152_slice_125.h5
synthetic_004530,55,132,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_171_slice_64.h5
synthetic_004531,55,132,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_184_slice_101.h5
synthetic_004532,55,133,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_148_slice_124.h5
synthetic_004533,55,133,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_171_slice_65.h5
synthetic_004534,55,133,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_274_slice_64.h5
synthetic_004535,55,134,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_171_slice_128.h5
synthetic_004536,55,134,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_230_slice_125.h5
synthetic_004537,55,134,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_235_slice_125.h5
synthetic_004538,55,135,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_189_slice_85.h5
synthetic_004539,55,135,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_295_slice_128.h5
synthetic_004540,55,135,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_305_slice_132.h5
synthetic_004541,56,10,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_254_slice_66.h5
synthetic_004542,56,12,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_248_slice_104.h5
synthetic_004543,56,13,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_296_slice_91.h5
synthetic_004544,56,14,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_183_slice_99.h5
synthetic_004545,56,15,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_247_slice_97.h5
synthetic_004546,56,16,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_326_slice_55.h5
synthetic_004547,56,17,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_29_slice_101.h5
synthetic_004548,56,18,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_173_slice_113.h5
synthetic_004549,56,19,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_10_slice_111.h5
synthetic_004550,56,20,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_213_slice_70.h5
synthetic_004551,56,21,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_239_slice_77.h5
synthetic_004552,56,22,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_236_slice_95.h5
synthetic_004553,56,23,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_172_slice_110.h5
synthetic_004554,56,24,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_247_slice_86.h5
synthetic_004555,56,25,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_276_slice_115.h5
synthetic_004556,56,26,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_220_slice_65.h5
synthetic_004557,56,27,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_254_slice_70.h5
synthetic_004558,56,28,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_191_slice_64.h5
synthetic_004559,56,29,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_202_slice_62.h5
synthetic_004560,56,30,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_221_slice_92.h5
synthetic_004561,56,31,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_103_slice_67.h5
synthetic_004562,56,32,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_127_slice_69.h5
synthetic_004563,56,33,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_213_slice_50.h5
synthetic_004564,56,34,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_232_slice_88.h5
synthetic_004565,56,35,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_103_slice_53.h5
synthetic_004566,56,36,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_314_slice_77.h5
synthetic_004567,56,37,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_84_slice_41.h5
synthetic_004568,56,39,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_268_slice_45.h5
